title,age_min,age_max,duration_mins,tags,cost,indoor_outdoor,season,materials_needed,how_to_play,players,parent_caution
Animal Walk,2,4,15,"exercise, fun",free,both,all,[],"['Choose an animal like a snake, frog, horse, or bear and show children how it moves.', 'Encourage them to copy the movements, adding their own sounds and gestures.', 'Take turns picking new animals to mimic so everyone gets involved.', 'Keep the area clear of obstacles so kids can move freely and safely.']",1+,no
Keep the Balloon Up,2,4,10,"exercise, coordination",low,both,all,"[""balloons"", ""pool noodle (optional)"", ""various balls of different sizes""]","['Inflate a balloon and clear a space where it can be batted around.', 'Have children use their hands or a pool noodle to tap the balloon into the air.', 'Challenge them to keep the balloon from touching the ground for as long as they can.', 'Introduce variations like using different sized balls or switching hitting hands.']",1+,yes
Ride a Bike,3,4,20,"exercise, gross motor",free,outdoor,all,"[""helmet"", ""tricycle or balance bike""]","['Equip each child with a properly fitting helmet and a tricycle, balance bike, or bike with training wheels.', 'Begin on a flat surface, guiding children to push off and pedal while you steady the bike.', 'Gradually release support as they gain balance and confidence.', 'Set up simple obstacles or cones to weave around for a fun challenge once they’re comfortable.']",1+,yes
Freeze Tag,3,4,15,"exercise, group",free,outdoor,all,[],"[""Select one child to be 'It' and explain that anyone tagged must freeze in place."", 'Unfrozen players can tag frozen friends to set them free and back into the game.', ""After a few minutes, choose a new player to be 'It' so everyone has a turn."", 'Play on soft grass or a clear indoor space to avoid trips and falls.']",3+,yes
Climb a Tree,4,5,20,"motor skills, nature",free,outdoor,all,[],"['Find a sturdy tree with low, thick branches suitable for climbing.', 'Show children how to test branches before putting weight on them.', 'Stay close to assist and set a limit on how high they can go.', 'After climbing, look at leaves or insects together and discuss what you see.']",1+,yes
Initial Game,6,10,10,"learning, word",free,indoor,all,[],"['Choose a five‑letter word and write each letter on separate cards or notes.', 'Challenge children to rearrange the letters to form as many new words as possible.', 'Work individually or in teams and keep a list of all the words you create.', 'Share and spell the words together at the end and see how many you found.']",2+,no
Marshmallow Sculpture,4,8,15,"engineering, creativity",low,indoor,all,[],"['Hand out marshmallows and toothpicks for building three‑dimensional shapes.', 'Show how to connect marshmallows with toothpicks to form cubes, pyramids, and other designs.', 'Encourage experimenting with different structures and testing which are the strongest.', 'Remind children not to eat too many marshmallows until their creations are finished.']",1+,no
Paper Pals,4,7,15,"crafts, imaginative",low,indoor,all,"[""craft supplies"", ""folding instructions or markers"", ""glue"", ""paper"", ""paper sheets""]","['Gather paper bags, glue, yarn, markers, and other craft supplies.', 'Demonstrate cutting and folding the bags to form the body of a puppet.', 'Decorate with faces, hair, and clothing to make each puppet unique.', 'Use the finished puppets to put on a short play or tell a story.']",1+,yes
Polka Dot Slime,3,8,20,"sensory, science",low,indoor,all,"[""colored objects"", ""craft supplies"", ""glue"", ""matching areas"", ""paper""]","['Mix school glue with liquid starch and a few drops of food colouring until a slime forms.', 'Knead the slime until it’s smooth and stretchy without sticking to your hands.', 'Stir in foam beads or small pom‑poms to create colourful polka dots.', 'Store the slime in an airtight container when finished and discuss its texture.']",1+,yes
Runway Ready,4,8,20,dramatic play,free,indoor,all,[],"['Lay out a runway using a carpet, mat, or tape on the floor.', 'Invite children to dress up in costumes or mix‑and‑match outfits from a dress‑up box.', 'Have them walk the runway with confidence while others cheer and snap pretend photos.', 'Encourage fun poses at the end and swap outfits for multiple fashion shows.']",1+,no
